,text
579,"в последний месяцы доставка дольше , чем из яндекс. хотя даркстор в соседнем доме от меня."
580,доставка должна быть num минут хотя по факту все numnum
581,контроль качества при сборке оставляет желать лучшего
582,"при задержке доставки не предоставляется номер курьера, даже по многочисленным просьбам"
583,"все хорошо, но привозят и просроченные товары, и фрукты неважного качества!!!"
584,дороговато
585,"почемуто пропала кнопка оставить у дверей, хотя с ней было удобнее!"
586,"очень долго доставляют продукты, еще и задерживают часто"
587,очень бы хотелось видеть отзывы других покупателей на товар.очень многое страшно пробовать без отзывов
588,"уже не num минут, а дольше"
589,"бывает такое, что на фото продукт выглядит хорошо, а в жизни наоборот, так же калорийность указана не везде правильно, и бжу тоже! ну и конечно цены, иногда выгоднее сходить в магазин и потратить время на ходьбу, чем деньги на некоторые продукты!"
590,"здравствуйте! очень волнует качество продуктов. несколько раз, почти каждый раз, как только решусь у вас заказать овощифрукты, они оказываются гнилыми и протухшими. последний раз доставили гнилые огурцы. ужасная сборка продуктов и куда смотрят сборщики."
591,"доставка всегда дольше заявленных num минут, зачем писать время, которое не соблюдается"
592,нужно уменьшить цены! на свежие овощи и фрукты! яйца и молоко.
593,збс но раньше было лучше
594,"все конечно классно, но вы постоянно опаздываете"
595,"почти в num случаев скоропортящийся товар приезжает с вотвот подошедшим к окончанию срока годности, либо уже с закончившимся сроком"
596,"пишите одно время доставки а привозите дольше, продукты не очень хорошего качества"
597,"все хорошо но бывают нарушены условия хранения так как срок в порядке, а продукт кислый. это касается молочки и салатов . ягоды иногда бывают вялые. круасаны очень вкусные свежие"
598,"у нас самокат под окнами, можно было бы сделать для тех кто рядом со складом минимальную сумму заказа не такой высокой. спасибо"
599,долгая доставка
600,продукты с истекающим день в день заказа сроком годности лучше утилизировать!!!
601,все гуд
602,часто порченные продукты ! опаздывают курьеры !
603,привозят испорченные продукты с отвратительным запахом.
604,круто выглядишь
605,
606,плохая доставка часто привозят не твой заказ либо задерживаются на пол часачас
607,последняя доставка очень долгая. при этом ни одного оповещения от вас
608,приложение худшее из худших. наймите тестировщиков.
609,да
610,"все было бы прям замечательно если бы в какие то моменты не привозили испорченные товары, к курьерами притензий никаких нет доставляют все во время им отдельное спасибо"
611,"каждая вторая доставка чуть ли в numраза задерживается по времени. если пишет num минут, то привезут через num. в целом ничего страшного, на зачем писать num минут, если после этого продает хотябы ориентир по времени. курьер уже спешит к вам и гадай сколько"
612,все нормально
613,"раньше был лучше сервис акции, доставка, цены. товаров сейчас больше, но че толку за такие деньги да и курьеры у вас конкретно изменились. те, кто умеет четко и ясно говорить порусски, отказываются работать за вашу зп?а вот цены на вещи стали выше"
614,"плохо, дорого и не свежее"
615,"последний раз очень огорчили меня тем, что в заказе привезли продукты, у которых заканчивался срок годности на следующий день. после этого и осадок остался неприятный и доверие упало. хотелось бы получать свежие продукты."
616,"доставка рассчитана не правильно. курьеры иногда не понимают русский язык,сложно объяснять"
617,когда нужно чтото купить а заказ от определенной суммы это очень раздражает
618,"очень медленно работаете, доставку ждать приходится больше получаса, хотя пункт самокат в соседнем доме"
619,"маленький ассортимент в доставке, есть одно, два других нет.. и так ломаешь голову где же заказвть так что бы в одном месте и было все,что нужно.. увы это не про вас.раздел специи. выбора почти нет! ну и цены ,конечно же выше, чем у других сетей."
620,"я последние время, я несколько раз заказывал от вас , но ждал очень долго !, иногда numnum часа и иногда больше , всегда написал в поддержке и просто ответь  много заказов у нас , поэтому перестал заказать"
621,"приложение глючит, сумма минимального заказа иногда завышена , курьеры неопрятные"
622,вы хорошие
623,черешня вся гнилая!!!!
624,"развития и улыбок вам, а нам больше скидок!"
625,"т.к. заказываю часто, хотелось бы увеличить ассортимент. отдельная благодарность за рецептыnum"
626,"долгая доставка, кушать хочется"
627,ничего хорошего
628,качество оставляет желать лучшего
629,неплохой старт там но нужно развиваться и пока есть интересные предложения вы можете их рассмотреть
630,хочется большего ассортимента
631,очень долгая доставка
632,"очень долго, о никаких num минут даже речи не может быть. ужас"
633,"сервис отвратительный. оплатила заказ, ждала полчаса, написали, что курьер задерживается, а потом просто в приложении увидела отметку, что заказ отменен. позвонила, сказали, что курьер отменил заказ, тк не может проехать. вообще бред. деньги не вернули"
634,"местами дорого, чем в других доставках, особенно на фрукты"
635,"в целом удобный сервис, но несколько раз привозили просроченнный товар и вот сегодня привезли помидоры черри вывалившиеся и сгнившие, это конечно треш."
636,в последнее время доставка по заказам увеличена с numм до numм. нет понимания точного времени прибытия курьера
637,"очень долго висит заказ на этапе принят, скоро начнм собирать"
638,пусть курьеры читают комментарии к заказу
639,быстрая доставка. чаще вежливые курьеры. периодически очень завышенная цена.
640,"очень долгая доставка, качество товаров стало хуже"
641,курьеры тормоза
642,верните шадринскую минералку
643,в последнее время стало хуже с доставкой.
644,"доставка бывает так и за numnum минут, так и num минут"
645,все хорошо но цены бешенные а мы простые люди не богачи
646,очень долго везут заказ
647,очень долго
648,цены выше обычного. плюс ассортимент очень узкий. в грибах вообще нет выбора. зелень всегда не свежая
649,"хотела бы блюда для веганов без химии. это прям очень. второе, не понятны ваши предложения в виде скидки от стоимости заказа. указано, к примеру, больше num скидка, добавляю до этой суммы, скидок обещанных нет, только в плюс идет один круассан с num."
650,"очень долгая доставка, хотя указано num минут"
651,"раньше быстрее доставляли продукты, качество было выше, цены адекватнее. сейчас часто задерживают заказы, не знаю, по вине ли курьеров, но факт есть. почти нет акций."
652,батон не первой свежести
653,"стали чаще и чаще приходить порченные продуктыкапуста в пакетах, яблоки, авокадо, томаты, огурцы."
654,"минимальная сумма заказа меняется на глазах. не успеваешь е набрать, как она снова вырастает, и так по несколько раз"
655,"курьер уже на num мин опаздывает,да нахер ваш сервис!"
656,побольше новых продуктов не хватает
657,"очень долгая стала доставка, цены слишком завышены. есть куча аналогов с оптимальной ценовой политикой и качеством товаров. видимо нужно как то рекламу оплачивать. в рекламу вложилисьцены поднялипокупателей распугали"
658,переодически путаница с заказами и долгой доставкой
659,все время доставка задерживается минус всегда за это
660,"супер приложение, но это условие в доставке от num рублей расстраивает"
661,очень долгая доставка
662,"цены, даже с учетом скидки выше чем в других магазинах"
663,"когда делаешь заказ поздно вечером привозят товар с последним сроком годности, т.е. уже завтра товар можно выкинуть"
664,норм
665,хуета
666,"круто, но не всегда"
667,очень долго стали доставлять заказ
668,в принципе вс норм
669,"опаздывают заказы постоянно, лучше пишите что приедет за num минут и привозите за num, чем писать num минут и привозить за numnum"
670,долго доставляете 
671,"бывает задержка доставки, что не радует."
672,идите нахуй
673,"продукты часто приезжают скисшие, за опоздания курьеров нет никаких скидок и промокодов! если вы позиционируете себя, как быстрая доставка, будьте любезны работать над сервисом"
674,"удобный сервис, но дорогие продукты"
675,"цены завышены, но быстрая доставка это большой плюс. ассортимент товаров маловат."
676,"все хорошо, но очень маленький ассортимент и цены космос"
677,подняли цены на доставку была бесплатна щас платно!!!
678,"очень долгая доставка ,не всегда свежие продукты,высокие цены"
679,"очень удобный и быстрый сервис. на работу всегда привозите за num минут. но ассортимент оставляет желать лучшего. когда заказываешь каждый день, одно и тоже надоедает."
680,.
681,"крутой сервис и быстрая доставка, но очень высокие цены"
682,"курьеры гавно, поддержка тоже похую"
683,долго слишком
684,"всегда когда надо быстро  задержка, когда быстро не надо  привозят мгновенно "
685,"скорость зачастую отличная, цены слишком высокие, не хватает раздела, где можно подряд ленту со всеми товарами листать"
686,"num. часто привозят просроченные продукты, это прям минус. было время, когда я перестала заказывать чтото готовое, боясь увидеть там плесень num. время доставки хотелось бы уменьшить"
687,"прикольно, что можно заказывать еду домой. да конечно большой ассортимент, но все равно всегда чегото не хватает и очень быстро заканчиваются определенные позиции. по доставке нет претензий, всегда приезжают вовремя, вежливые"
688,"я прошла игру, мне дали промокод на num процентов на покупку от num рублей, я попыталась применить его на сумму num, и программа написала мне что я и так выбрала позиции со скидками, но в условиях не было прописано"
689,в последнее время очень долго всегда
690,нормально
691,"стало долгое время доставки.раньше заказывали из яндекс лавки,но изза времени доставки стали тут,сейчас уже ничем не выигрывает.небольшой ассортимент"
692,"качество товара реально бывает ужасное,то вонючий плов пластмассой вонял, то продырявленный грязный флакон со средством. люблю самокат за то , что быстрая доставка , курьеры всегда вежливые . но товар это просто пизлец . зачем вы ограничили количество бук"
693,"очень долго стали приезжать заказы! выбираю вас в основном из за быстроты, но вы очень очень сильно стали подводить! видимо, лозунг  num минут не про вас, от num минут  да, плохой маркетинговый ход. теряете клиентуру."
694,очень долгая доставка. всегда. num минут никогда не было. пол часа в среднем. оооочень долго
695,"мало товаров. и скидки на товары, стоимость которых в магните такая же как без скидки"
696,у меня нет времени думать о ебучем самокате
697,последнее время достаточная система очень плохо работает.по началу вс было отлично
698,готовая еда вся не вкусная
699,все вроде бы нормально. но иногда качество продуктов оставляет желать лучшего.
700,"думаю, что вы ужасно испортились. заказ за num минут доставляют в одном случае из num, часто заказываю зелень, она пожухлая и желтая почти всегда."
701,с чего по часу доставка?!
702,"обещаете, что за num минут доставите, но за num минут она в numх случаях из num."
703,"в последнее время, доставка очень плоха, то задержатся, то не то привезут, в поддержке толку num"
704,"пишут num мин, а по факту сегодня почти час уже едут"
705,likeee! 
706,делайте меньше сумму минимального платежа
707,"стартовая страница очень загружена ,хотелось видеть классическое разделение на категории ,а дальше уже скидки и все рекламы"
708,"очень удобно, доставку бы быстрее"
709,иногда бывают проблемы с доставкой и по непонятным причинам увеличивается стоимость от которой можно сделать заказ
710,работаю норм
711,"не очень удобное приложение,не интуитивно понятно,где искать тот или иной товар."
712,"очень долго производят доставку, возможно, недостаточно курьеров. но если яндекс лавку я знаю, что буду ждать около num минут, то тут все может сильно задержаться"
713,"очень нравится ассортимент и быстрые доставки, но качество сборки оставляет желать лучшего. уже много раз нам привозили не наш заказ или в заказе не было некоторых позиций. через службу поддержки вопросы решались, но доставка в итоге очень долгаяне вся"
714,"доставка обычно дольше обещанного времени. многие цены дороже, чем в других магазинах"
715,"я в ахуе, почему так долго я успеваю сходить в туалет и по большому, полы помыть и поиграться с ежиком."
716,очень долгая доставка
717,"заказы иногда везут очень долгов приложени написано, что через пару минут курьер уже уже у меня, а по факту я сижу и жду ещ num минут"
718,норм
719,неплохо бы добавить промокодов для старых пользователей
720,"молочная продукция с исходящим сроком годности, неоднократно привозили не самые свежие продукты"
721,"у каждого почемуто разная минимальная сумма для бесплатной доставки, хотя в рекламе транслируется, что она бесплатная всегда."
722,"сервис был учень удобен, без увеличения суммы минимального заказа. я трачу около num минут на выбор продуктов, а по итогу не могу сделать заказ, потому что за это время сумма минимального заказа снова выросла. изза этого я перехожу на другие сервисы."
723,"однажды мне везли заказ num,num часа, вместо обещанных num минут. поддержка не отвечала ни в телеграме,ни по телефону.никто не извинился за такую задержку. нужно уведомлять клиента хоть както. в приложении статус не менялся тоже."
724,"вы очень классные,желаю вам дальше развиваться,но не могли ли вы сделать так что бы заказ был не от какой то суммы либо же от num рублей в независимости от времени"
725,раньше доставка была быстрее. сейчас может ехать очень долго . почти всегда задерживается .
726,опаздывает доставка часто
727,"у меня сменился телефон ! и теперь вы обязываете меня заводить новый аккаунт с потеряй всех покупок , бонусов и привилегий"
728,долго
729,"ягоды и в целом фрукты стали ужасными,не зависимо от адреса доставки,раньше качество всех товаров было гораздо лучше.цены стали во много раз дороже чем у аналогичных сервисов, на единицу товара приходится поnumnumрублей разлета цен.коллеги перешли на вв"
730,почему можно заказывать только от определенной цены? почему тут прям дорого
731,вы крутой магазин
732,эксплуатируете курьеров без достойной оплаты
733,"очень удобный сервис!изначально были в восторге,от скорости доставки, качества продукта, стоимости.заказывали доставку ежедневно.сейчас реже пользуемся, задерживается, высокая стоимость, и исчезли скидки за опоздание,и чаще привозят некачественный продукт"
734,"прекрасное приложение, однако порой вместо num минут приходится ждать полчаса"
735,"овощи и фрукты на складах несвежие, привозили пожухлые, некоторые йогурты со сроком годности практически истекающие через пару дней, так не годится"
736,заказ раньше от numр был
737,"раз через раз приезжает более менее товар, в частности свыше num минут жду, да и иногда по часу"
738,"нравится быстрая доставка, но вот качество мясных и готовых продуктов оставляет желать лучше. интересный ассортимент, но, к сожалению, быстро расходятся позиции и ничего не остатся скидки по промокоду никогда не проходят в приложении"
739,отвратительно постоянно меняется стоимость корзины захожу заказ от num набираю на эту сумму выхожу на оплату а там уже от num. это вообще не красиво и не правильно
740,"заявлена доставка за numnum минут, но доставляют за  num,num часа"
741,"я работаю в самокате, повысьте зарплату"
742,"я думаю вы компания обманщиков, так как регулярная цена ничем не отличается от цены со скидкой. вы кого обмануть пытаетесь???? а ещ мне ни разу не привезли сегодняшний хлеб, он всегда вчерашний или позавчерашний даже если я в комментариях прошу об этом."
743,долго везете. заказываю только изза сроков доставки. в последнее время ваши num минут превращаются в numnum. больше заказывать не буду.
744,"очень много ошибок в составах продуктов. поддержка долго отвечает. разнообразный ассортимент. есть продукты, которые у нас в городе нигде не купишь, кроме самоката"
745,"очень дорого, ассортимент ужасно скудный. всегда высокий спрос и надо набирать на num и больше, а тут уже смысл пропадает, можно заказать в магните"
746,"заказываю только когда нет возможности выйти или когда нужно чтото очень быстро.если бы ассортимент был более разнообразным, то я бы заказывала намного чаще."
747,очень тяжело сделать заказ
748,постоянно опаздывает щаказ
749,"шикарный сервис, но барьер в num часто мешает покупать, было бы отлично снизить хотябы до num, а в идеале до num"
750,"в целом ок , но часто порченное и не свежее."
751,"если бы, курьеры, приезжали по назначеному времени, то вс было бы хорошо. и если бы, самокат не накручивал цены в двое"
752,самокат лучшие
753,верните состав прежний состав своей продукции без ешек
754,"доставка очень медленная, медленнее, чем обещается"
755,часто задерживаетесь
756,кашмар
757,"не соответствуете тому что заявляете в рекламе,несколько раз доставку задерживали на продолжительное количество времени,если вы себя позиционируете как доставка до num минут,будьте добры выполнять это! ну а то что покупателям часто подсовывают несвежие"
758,ненормально привозить продукты чей срок годности истекает через деньдва
759,"маленький выбор товара, неудобные разделы, постоянные задержки с доставкой, и вечно лагающее приложение."
760,класс
761,"не радует изменение цены, с которой начинается доставка"
762,оооочень частые опоздания и задержки
763,"поддержка отвечает медленно, доставка не соответствует указанным интервалам, применение скидок вообще почти невозможно самостоятельно высчитать. а обман с промокодами внутри, которых нет  ну, это просто трэш."
764,время ожидания не соответствует
765,в последнее время очень долгая доставка
766,не всегда вежливые курьеры
767,"стала очень долгая сборка и доставка. раньше были обещанные num минут, а теперь можно около получаса ждать, таким темпами я и сама в магазин могу спуститься."
768,"очень долго все, фрукты и овощи не свежие"
769,иногда заказы привозят с большим опозданием.
770,"в указанный срок num минут приезжает num заказ из num. техподдержка уже num год говорит одно и то же расширяем штат курьеров. но ситуация не меняется. к самим курьерам нет вопросов и претензий, а только маркетологам, которые придумают неоправданные слоганы"
771,"ассортимент за время работы сильно уменьшился, у продукции от самоката нет конкурентов, а она зачастую недешевая. пришлось отказываться от удобного сервиса в пользу магазинов с большим ассортиментом, увы"
772,"очень долгая доставка. за опоздание курьера никаких бонусов извините, или что то в этом духе. складывается впечатления что вам плевать на клиентов"
773,продукты самокат не очень вкусные
774,"ну вы такие, иногда хорошие, а иногда я жду свою водичку час и плачу"
775,"все супер, но к сожалению появилась доставка от определенной суммы"
776,больше лояльности и приятных бонусов клиентам которые каждый день чтото у вас покупают
777,"заказ висит уже num минут на моменте оплате. на карте есть деньги, выключен впн и стабильный интернет"
778,плохая поддержка
779,"цены на некоторые товары очень завышены, хотя причин для этого нет"
780,малый радиус доставки. нет никакого расширения
781,быстро
782,"сидеть и более часа ждать заказ, это уже слишком!"
783,"удобно, быстро. не хватает больше продуктов с этикеткой самокат, они классные"
784,phonenumnum
785,"быстрая доставка, очень выручает!"
786,"качественные товары, быстрая доставка"
787,"готовые блюда numnumдневной давности. хлеб постоянно привозят вчерашний. салаты с соусами все поткшие, видно что им точно неколько дней."
788,бля я обосрался
789,малый ассортимент
790,"некоторый товар изначально не свежий, допустим красную икру не покупаю в самокате совсем, потому что есть невозможно е. бывает, приходит товар со сроком годности до завтра."
791,"в целом хорошо, но часто доставляют продукты срок годности которых вот вот истечет"
792,"дорого, но со вкусом"
793,да
794,"товар привозят всегда под конец срока годности. свежего не привозят никогда. привезли сегодня лапшу, у нее один день до срока остался. неприятно такое естб"
795,"очень удобно и быстро было раньше, сейчас проще сходить в магазин"
796,ничего
797,стали очень долго доставлять. очень расстраивает
798,завышенные цены на многие товары
799,"удобный сервис, но доставка достаточно долгая. часто дольше, чем numмин. в последнее время курица с запахом, скорее всего неправильные условия хранения, так как срок нормальный и не знаешь куда отправлять претензию так как на вид товар нормальный"
800,не плохо
801,"постоянно задержки доставки, удивляет , что даже в теплое время года. в целом сервис неплохой. иногда пользуюсь."
802,"было бы здорово, если бы вы научились звонить, когда убираете позиции из заказа. также было бы чудесно, если бы курьер реально приезжал через ир количество минут, которое вы пишите. мнргр"
803,фруктов мало и цены большие. остальное все хорошо
804,"на данный момент меня вс более менее устраивает, но цены на некоторые продукты слишком завышены"
805,"хороший сервис, но доставка хромает. разное ассортимент для разных адресов. например, на работу я не могу заказать разогретую еду, а домой могу. очень жаль"
806,"быстро , удобно, но часто овощи, мясо и фрукты не надлежащего качества ! отслеживайте сроки ! улучшайте качество продуктов и ассортимент !"
807,супер пупер
808,"цены завышены прилично. я лучше в магазине куплю сама, но дешевле. да и не всегда есть товар, который нужен, раскупают."
809,зависает
810,очень задерживаете доставку
811,жаль нет оплаты за наличный расчет
812,не думаю
813,постоянные задержки моих заказов. устала ждать
814,"курьеры часто задерживаются на numnum минут, поддержка в качестве извещения никак не реагирует, а лишь только фраза ничем не можем помочь, к сожалению"
815,ничего не думаю
816,"фрукты и овощи взяты с помойки, цены космос по сравнению с обычным магазином, поддержка нужно долго объяснять что пришл не качественный продукт"
817,нравится 
818,"наберите еще курьеров, а то яндекс.лавка сейчас доставляет товары быстрее чем вы"
819,часто обвес в овощах и их плохое качество
820,"все хорошо, курьеров бы побыстрее"
821,"большие проблемы с временем доставки, иногда приходится ожидать в numnum раза долго указанного времени. стоимость некачественных товаров возмещается странным образом."
822,бывают проблемы с доставкой!!!
823,"приложение не очень, нельзя сразу напрямую в поддержку написать,а только в телеграмм,а там отвечают через день. нельзя отследить где курьер. качество товаров иногда ужасное."
824,хотелось бы скидки и промокоды на последующие заказы
825,"курьер привз мороженное все разбитое,лежало внизу пакета в итоге все помято невозможно есть"
826,продукты в основном тухлые! особенно мясо
827,в последнее время долгая доставка и не спелые манго
828,"несколько раз привозили испорченные продукты, заказываю только то, что долго хранится"
829,"последнее время заказы приезжают примерно за час, печально"
830,жаль что очень сокращена зона доставки
831,можно улучшить скорость доставки и доставлять без опозданий
832,норм
833,очень долго курьер ездит
834,слишком долгая доставка
835,ии
836,перегруженный интерфейс
837,"доставка стала долгой. раньше быстро привозили, а теперь постоянно задерживаются курьеры"
838,"хотелось бы побольше ассортимента здоровых продуктов. отлично, что есть зарубежные продукты . быстрая доставка радует."
839,доставки очень долгие. пропадает желание пользоваться этим сервисом.
840,"раньше была отличная доставка, сейчас очень сильно снизилось качество"
841,"никакой доставки за num минут нет давно. мороженное доставляют без термопакетов и уже приходилось возвращать, т.к. это была уже каша. не внимательное отношение к заказчикам и заказам"
842,"num. хотелось бы ускорить доставку  в num минут укладываетесь редко. num. расширить ассортимент  майонезы и соусы, мясныеколбасные продукты, безлактозные продукты творог, кефир, йогурт и пр."
843," еда вкусная  с курьерами как повезет, у службы поддержки минимальная лояльность к клиентам."
844,вообще не нравится сервис
845,"сегодня, когда зашла в приложение сделать заказ, минимальная сумма доставки была num рублей, пока добавляла товары, минимальная сумма была уже num рублей. в общем, к концу сбора корзины минимальная сумма доставки составляла уже num рублей"
846,"много продуктов просроченных, доставка всегда задерживается"
847,"портитесь, теперь заказываю только по необходимости, стараюсь пользоваться другими доставками в связи с этим"
848,"долго,хотя рядом с домом"
849,долга
850,"пишете, что будет через num мин, а на деле около часа... и даже не извиняетесь или не дате промокод. если бы я знала, что так долго, то в яндекс лавке заказала бы... таких случаев было очень много"
851,удобно и быстро 
852,"очень огорчает, что нет встроенной в приложение поддержки и связи с курьером"
853,"доставка редко укладывается по времени, я была бы не против если перед заказ меня предупредили о реальном времени. не всегда продукты поступают в товарном виде, при этом бывает нарушена целостность упаковки и товар можно только выкинуть."
854,"не хватает качество доставки и главное во время. если опоздал, то надо чтоб клиент успокоился, значит нужно бонусы начислять и многое другое."
855,.
856,зачастую доставка не успевает в срок. девиз по numnum минут к сожалению уже не работает
857,ну средний сервис
858,
859,"неудобное меню, в озоне фреш более интуитивно понятно"
860,"доставка стала очень долгая, цены завышены чем в магазине"
861,очень доллгая доставка!
862,долго
863,"поддержка нулевая, заявленное время доставки не соответствует."
864,"идея неплохая, но исполнение похрамывает. периодически просроченную еду привозите, битые фрукты. иногда курьеры отменяют заказ, если мне не дозвонились, хотя и не пытались, да и зачем мне звонить, если адрес указан корректно"
865,"смените поставщиков. их очень много других. цена космическая, а не наедаешься и не вкусно. китчен итл? это кто? откуда? ужасная еда!"
